epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,12878.9,1.11013,0.74779,1.17762,0.79519,0.73871,0.79631,0.47131,1.19219,0.916,1.16685,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,13048,1.10707,0.73954,1.17624,0.79451,0.73931,0.79702,0.47136,1.19191,0.91546,1.16716,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,13216.5,1.10679,0.74205,1.17635,0.7901,0.74223,0.79702,0.47104,1.19234,0.91429,1.1679,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,13384.7,1.09238,0.72557,1.17031,0.79353,0.73921,0.79661,0.47134,1.19272,0.90887,1.16868,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,13552.7,1.09234,0.72245,1.1684,0.79414,0.74008,0.79668,0.47109,1.19323,0.90572,1.16939,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,13721.2,1.08797,0.72358,1.16741,0.81244,0.72542,0.79674,0.4717,1.19308,0.90451,1.17005,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,13888.9,1.08282,0.71512,1.16164,0.81422,0.72479,0.79636,0.47133,1.19329,0.90362,1.17041,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,14056.8,1.08473,0.71594,1.15959,0.81309,0.72485,0.79555,0.47117,1.19333,0.90273,1.17115,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,14228.1,1.0727,0.70768,1.15788,0.81425,0.72386,0.7958,0.47095,1.19374,0.89932,1.17126,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,14395.7,1.06998,0.7058,1.15276,0.8118,0.72587,0.79587,0.47097,1.19397,0.8989,1.17171,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
